Symbol,Company Name,Industry,Market Cap,Stock URL
AJX,Great Ajax Corp.,REIT - Mortgage,122.41M,https://stockanalysis.com/stocks/AJX/
AKA,a.k.a. Brands Holding Corp.,Internet Retail,178.24M,https://stockanalysis.com/stocks/AKA/
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,13.58B,https://stockanalysis.com/stocks/AKAM/
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,4.26M,https://stockanalysis.com/stocks/AKAN/
AKBA,"Akebia Therapeutics, Inc.",Biotechnology,222.17M,https://stockanalysis.com/stocks/AKBA/
AKLI,"Akili, Inc.",Health Information Services,33.28M,https://stockanalysis.com/stocks/AKLI/
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.51B,https://stockanalysis.com/stocks/AKO.A/
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,3.01B,https://stockanalysis.com/stocks/AKO.B/
AKR,Acadia Realty Trust,REIT - Retail,1.76B,https://stockanalysis.com/stocks/AKR/
AKRO,"Akero Therapeutics, Inc.",Biotechnology,1.59B,https://stockanalysis.com/stocks/AKRO/
AKTS,"Akoustis Technologies, Inc.",Communication Equipment,18.45M,https://stockanalysis.com/stocks/AKTS/
AKTX,"Akari Therapeutics, Plc",Biotechnology,17.67M,https://stockanalysis.com/stocks/AKTX/
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,101.24M,https://stockanalysis.com/stocks/AKYA/
AL,Air Lease Corporation,Rental & Leasing Services,5.12B,https://stockanalysis.com/stocks/AL/
ALAB,"Astera Labs, Inc.",Semiconductors,9.63B,https://stockanalysis.com/stocks/ALAB/
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,239.77M,https://stockanalysis.com/stocks/ALAR/
ALB,Albemarle Corporation,Specialty Chemicals,13.51B,https://stockanalysis.com/stocks/ALB/
ALBT,Avalon GloboCare Corp.,Real Estate Services,5.22M,https://stockanalysis.com/stocks/ALBT/
ALC,Alcon Inc.,Medical Instruments & Supplies,45.08B,https://stockanalysis.com/stocks/ALC/
ALCE,Alternus Clean Energy Inc,Utilities - Renewable,28.55M,https://stockanalysis.com/stocks/ALCE/
ALCO,"Alico, Inc.",Farm Products,197.16M,https://stockanalysis.com/stocks/ALCO/
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,160.03M,https://stockanalysis.com/stocks/ALCY/
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,229.34M,https://stockanalysis.com/stocks/ALDX/
ALE,"ALLETE, Inc.",Utilities - Diversified,3.63B,https://stockanalysis.com/stocks/ALE/
ALEC,"Alector, Inc.",Biotechnology,420.24M,https://stockanalysis.com/stocks/ALEC/
ALEX,"Alexander & Baldwin, Inc.",REIT - Retail,1.20B,https://stockanalysis.com/stocks/ALEX/
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,2.23B,https://stockanalysis.com/stocks/ALG/
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,5.69B,https://stockanalysis.com/stocks/ALGM/
ALGN,"Align Technology, Inc.",Medical Devices,19.24B,https://stockanalysis.com/stocks/ALGN/
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,40.52M,https://stockanalysis.com/stocks/ALGS/
